ema_period,number_of_trades,win_rate,expectancy,profit_factor,sharpe_ratio,max_drawdown,average_R_per_trade
baseline,16.9375,0.1298410196107288,-39.872349812841755,0.612288934514504,-1329.9484844215795,-511.6302887499987,-0.48063592155708484
100,12.0625,0.0965160776615885,-53.187762655852296,0.4009629721019184,-1193.5759070068889,-450.71989375000055,-0.6139356893536461
150,11.9375,0.10081429681429682,-51.931843287869334,0.4135078658024579,-1190.5639849641648,-446.5348774999992,-0.5967428127428127
200,11.5,0.09938343277965919,-52.630678459379325,0.40404853754702186,-1011.3009457564209,-428.086818749999,-0.6024662688813631
250,11.4375,0.09879548347633454,-52.85995299423713,0.4010164340545418,-1012.0123239119441,-429.9789462499997,-0.6048180660946618
300,11.4375,0.10317253000528046,-51.41216968991677,0.41990473712028104,-1008.0568476199529,-416.95491749999997,-0.5873098799788782
